item_type,date_uploaded,source_file,creator,date,digital_id,format,language,location,medium,subjects,title,description,image_url
Item,2024-12-16,C:/Users/madis/Documents/676nlam/assignment_project_1/holiday_item_metadata\holiday_item_metadata-00694381.json,"[{'niver (kemp) collection (library of congress)': 'https://www.loc.gov/search/?fa=contributor:niver+%28kemp%29+collection+%28library+of+congress%29&fo=json'}, {'paper print collection (library of congress)': 'https://www.loc.gov/search/?fa=contributor:paper+print+collection+%28library+of+congress%29&fo=json'}, {'thomas a. edison, inc': 'https://www.loc.gov/search/?fa=contributor:thomas+a.+edison,+inc&fo=json'}, {'white, james h. (james henry)': 'https://www.loc.gov/search/?fa=contributor:white,+james+h.+%28james+henry%29&fo=json'}]",1898,['https://hdl.loc.gov/loc.mbrsmi/ntscrm.01202820'],"{'film, video': 'https://www.loc.gov/search/?fa=original_format:film,+video&fo=json'}",['english'],"['central park', 'new york']","['viewing print 1 film reel of 1 (23 ft.) : si., b&w ; 16 mm.', 'viewing print 1 film reel of 1 (ca. 50 ft.) : si., b&w ; 35 mm.', 'dupe neg pic 1 film reel of 1 (23 ft.) : si., b&w ; 16 mm.', 'dupe neg pic 1 film reel of 1 (ca. 50 ft.) : si., b&w ; 35 mm.', 'master pos pic 1 film reel of 1 (ca. 25 ft.) : si., b&w ; 16 mm.', 'paper pos 1 roll of 1 (ca. 50 ft.) : b&w ; 35 mm.', 'paper pos (copy 2) 1 roll of 1 (ca. 50 ft.) : b&w ; 35 mm.']","[{'actualities (motion pictures)': 'https://www.loc.gov/search/?fa=subject:actualities+%28motion+pictures%29&fo=json'}, {'central park (new york, n.y.)': 'https://www.loc.gov/search/?fa=subject:central+park+%28new+york,+n.y.%29&fo=json'}, {'city and town life': 'https://www.loc.gov/search/?fa=subject:city+and+town+life&fo=json'}, {'horse-drawn vehicles': 'https://www.loc.gov/search/?fa=subject:horse-drawn+vehicles&fo=json'}, {'new york': 'https://www.loc.gov/search/?fa=subject:new+york&fo=json'}, {'new york (state)': 'https://www.loc.gov/search/?fa=subject:new+york+%28state%29&fo=json'}, {'nonfiction films': 'https://www.loc.gov/search/?fa=subject:nonfiction+films&fo=json'}, {'short films': 'https://www.loc.gov/search/?fa=subject:short+films&fo=json'}, {'silent films': 'https://www.loc.gov/search/?fa=subject:silent+films&fo=json'}, {'sleighing': 'https://www.loc.gov/search/?fa=subject:sleighing&fo=json'}, {'winter': 'https://www.loc.gov/search/?fa=subject:winter&fo=json'}]",Sleighing scene,"['""A view taken on the West Side Drive in Central Park. Shows a continuous stream of handsome rigs and turnouts passing in both directions. Pedestrians watch the gay carnival. 50 feet""--Edison films catalog.']",https://tile.loc.gov/storage-services/service/mbrs/ntscrm/01202820/01202820.gif
Item,2024-12-16,C:/Users/madis/Documents/676nlam/assignment_project_1/holiday_item_metadata\holiday_item_metadata-2001706171.json,Not Available,1920-01-01,['cph 3a46630 //hdl.loc.gov/loc.pnp/cph.3a46630'],"{'photo, print, drawing': 'https://www.loc.gov/search/?fa=original_format:photo,+print,+drawing&fo=json'}",['english'],Not Available,['1 photographic print.'],[{'photographic prints': 'https://www.loc.gov/search/?fa=subject:photographic+prints&fo=json'}],"[African Americans selling Christmas trees and holly, Washington, D.C.]",Not Available,https://tile.loc.gov/storage-services/service/pnp/cph/3a40000/3a46000/3a46600/3a46630r.jpg#h=462&w=640
Item,2024-12-16,C:/Users/madis/Documents/676nlam/assignment_project_1/holiday_item_metadata\holiday_item_metadata-2004669669.json,"[{'hoover, joseph': 'https://www.loc.gov/search/?fa=contributor:hoover,+joseph&fo=json'}]",Not Available,"['pga 01601 //hdl.loc.gov/loc.pnp/pga.01601', 'cph 3a49785 //hdl.loc.gov/loc.pnp/cph.3a49785']","{'photo, print, drawing': 'https://www.loc.gov/search/?fa=original_format:photo,+print,+drawing&fo=json'}",['english'],Not Available,['1 print.'],Not Available,Christmas Eve,Not Available,https://tile.loc.gov/storage-services/service/pnp/pga/01600/01601v.jpg#h=825&w=1024
Item,2024-12-16,C:/Users/madis/Documents/676nlam/assignment_project_1/holiday_item_metadata\holiday_item_metadata-2010651354.json,"[{'nankivell, frank a. (frank arthur)': 'https://www.loc.gov/search/?fa=contributor:nankivell,+frank+a.+%28frank+arthur%29&fo=json'}]",1900-12-12,['ppmsca 25480 //hdl.loc.gov/loc.pnp/ppmsca.25480'],"{'photo, print, drawing': 'https://www.loc.gov/search/?fa=original_format:photo,+print,+drawing&fo=json'}",['english'],Not Available,['1 print : chromolithograph.'],"[{'cartoons (commentary)': 'https://www.loc.gov/search/?fa=subject:cartoons+%28commentary%29&fo=json'}, {'christmas': 'https://www.loc.gov/search/?fa=subject:christmas&fo=json'}, {'christmas trees': 'https://www.loc.gov/search/?fa=subject:christmas+trees&fo=json'}, {'chromolithographs': 'https://www.loc.gov/search/?fa=subject:chromolithographs&fo=json'}, {'clothing & dress': 'https://www.loc.gov/search/?fa=subject:clothing+%26+dress&fo=json'}, {'color': 'https://www.loc.gov/search/?fa=subject:color&fo=json'}, {'magazine covers': 'https://www.loc.gov/search/?fa=subject:magazine+covers&fo=json'}, {'periodical illustrations': 'https://www.loc.gov/search/?fa=subject:periodical+illustrations&fo=json'}, {'women': 'https://www.loc.gov/search/?fa=subject:women&fo=json'}]",Christmas number / Frank A. Nankivell '00.,Illustration shows a fashionably dressed young woman holding onto a Christmas tree as Puck chops it down with an axe.,https://tile.loc.gov/storage-services/service/pnp/ppmsca/25400/25480v.jpg#h=1024&w=766
Item,2024-12-16,C:/Users/madis/Documents/676nlam/assignment_project_1/holiday_item_metadata\holiday_item_metadata-2011646829.json,"[{'highsmith, carol m.': 'https://www.loc.gov/search/?fa=contributor:highsmith,+carol+m.&fo=json'}]",2011-01-01,['highsm 11596 //hdl.loc.gov/loc.pnp/highsm.11596'],"{'photo, print, drawing': 'https://www.loc.gov/search/?fa=original_format:photo,+print,+drawing&fo=json'}",['english'],"['pennsylvania', 'philadelphia', 'united states']","['1 photograph : digital, TIFF file, color.']","[{'america': 'https://www.loc.gov/search/?fa=subject:america&fo=json'}, {'color': 'https://www.loc.gov/search/?fa=subject:color&fo=json'}, {'digital photographs': 'https://www.loc.gov/search/?fa=subject:digital+photographs&fo=json'}, {'parades': 'https://www.loc.gov/search/?fa=subject:parades&fo=json'}, {'pennsylvania': 'https://www.loc.gov/search/?fa=subject:pennsylvania&fo=json'}, {'philadelphia': 'https://www.loc.gov/search/?fa=subject:philadelphia&fo=json'}, {'united states': 'https://www.loc.gov/search/?fa=subject:united+states&fo=json'}]","Mummers Parade on New Year's day, Philadelphia, Pennsylvania",Not Available,https://tile.loc.gov/image-services/iiif/service:pnp:highsm:11500:11596/full/pct:25/0/default.jpg#h=1024&w=1536
Item,2024-12-16,C:/Users/madis/Documents/676nlam/assignment_project_1/holiday_item_metadata\holiday_item_metadata-2011647535.json,"[{'keppler, udo j.': 'https://www.loc.gov/search/?fa=contributor:keppler,+udo+j.&fo=json'}]",1909-12-29,['ppmsca 27593 //hdl.loc.gov/loc.pnp/ppmsca.27593'],"{'photo, print, drawing': 'https://www.loc.gov/search/?fa=original_format:photo,+print,+drawing&fo=json'}",['english'],Not Available,"['1 photomechanical print : offset, color.']","[{'(james schoolcraft)': 'https://www.loc.gov/search/?fa=subject:%28james+schoolcraft%29&fo=json'}, {'cannon, joseph gurney': 'https://www.loc.gov/search/?fa=subject:cannon,+joseph+gurney&fo=json'}, {'cartoons (commentary)': 'https://www.loc.gov/search/?fa=subject:cartoons+%28commentary%29&fo=json'}, {'celebrations': 'https://www.loc.gov/search/?fa=subject:celebrations&fo=json'}, {'color': 'https://www.loc.gov/search/?fa=subject:color&fo=json'}, {'dining rooms': 'https://www.loc.gov/search/?fa=subject:dining+rooms&fo=json'}, {'industrial trusts': 'https://www.loc.gov/search/?fa=subject:industrial+trusts&fo=json'}, {'new year': 'https://www.loc.gov/search/?fa=subject:new+year&fo=json'}, {'offset photomechanical prints': 'https://www.loc.gov/search/?fa=subject:offset+photomechanical+prints&fo=json'}, {'periodical illustrations': 'https://www.loc.gov/search/?fa=subject:periodical+illustrations&fo=json'}, {'political patronage': 'https://www.loc.gov/search/?fa=subject:political+patronage&fo=json'}, {'prosperity': 'https://www.loc.gov/search/?fa=subject:prosperity&fo=json'}, {'sherman, j. s.': 'https://www.loc.gov/search/?fa=subject:sherman,+j.+s.&fo=json'}, {'special interests': 'https://www.loc.gov/search/?fa=subject:special+interests&fo=json'}]",New Year's eve at the hotel prosperity / Kep.,"Illustration shows waiters Joseph G. Cannon and James S. Sherman turning away a man labeled ""Average Citizen"" and a woman at the ""Hotel Prosperity"" dining room because all the tables have been reserved; there are signs on the tables that read ""Reserved for Wool Interests, Reserved for Coal Trust, Reserved for Steel Trust, Reserved for Senator Aldrich and Party, Reserved for Cold Storage Interests, Reserved for Sugar Trust, Reserved for Ice Trust, [and] Reserved for Franchise Grabbers"".",https://tile.loc.gov/storage-services/service/pnp/ppmsca/27500/27593v.jpg#h=684&w=1024
Item,2024-12-16,C:/Users/madis/Documents/676nlam/assignment_project_1/holiday_item_metadata\holiday_item_metadata-2011649649.json,"[{'hill, w. e. (william ely)': 'https://www.loc.gov/search/?fa=contributor:hill,+w.+e.+%28william+ely%29&fo=json'}]",1913-12-03,['ppmsca 28003 //hdl.loc.gov/loc.pnp/ppmsca.28003'],"{'photo, print, drawing': 'https://www.loc.gov/search/?fa=original_format:photo,+print,+drawing&fo=json'}",['english'],Not Available,"['1 photomechanical print : offset, color.']","[{'anxiety': 'https://www.loc.gov/search/?fa=subject:anxiety&fo=json'}, {'beauty': 'https://www.loc.gov/search/?fa=subject:beauty&fo=json'}, {'cartoons (commentary)': 'https://www.loc.gov/search/?fa=subject:cartoons+%28commentary%29&fo=json'}, {'christmas': 'https://www.loc.gov/search/?fa=subject:christmas&fo=json'}, {'clothing & dress': 'https://www.loc.gov/search/?fa=subject:clothing+%26+dress&fo=json'}, {'color': 'https://www.loc.gov/search/?fa=subject:color&fo=json'}, {'kissing': 'https://www.loc.gov/search/?fa=subject:kissing&fo=json'}, {'magazine covers': 'https://www.loc.gov/search/?fa=subject:magazine+covers&fo=json'}, {'mistletoe': 'https://www.loc.gov/search/?fa=subject:mistletoe&fo=json'}, {'offset photomechanical prints': 'https://www.loc.gov/search/?fa=subject:offset+photomechanical+prints&fo=json'}, {'periodical illustrations': 'https://www.loc.gov/search/?fa=subject:periodical+illustrations&fo=json'}, {'snowmen': 'https://www.loc.gov/search/?fa=subject:snowmen&fo=json'}, {'women': 'https://www.loc.gov/search/?fa=subject:women&fo=json'}]",Christmas Puck / W.E. Hill '13.,Illustration shows an anxious snowman standing between two beautiful young women wearing clown costumes and holding mistletoe over their heads during an evening snow shower.,https://tile.loc.gov/storage-services/service/pnp/ppmsca/28000/28003v.jpg#h=1024&w=733
Item,2024-12-16,C:/Users/madis/Documents/676nlam/assignment_project_1/holiday_item_metadata\holiday_item_metadata-2015646473.json,"[{'penfield, edward': 'https://www.loc.gov/search/?fa=contributor:penfield,+edward&fo=json'}]",1894-01-01,['ppmsca 43110 //hdl.loc.gov/loc.pnp/ppmsca.43110'],"{'photo, print, drawing': 'https://www.loc.gov/search/?fa=original_format:photo,+print,+drawing&fo=json'}",['english'],Not Available,['1 print : color ; sheet 32 x 47 cm (poster format)'],"[{'american': 'https://www.loc.gov/search/?fa=subject:american&fo=json'}, {'book & magazine posters': 'https://www.loc.gov/search/?fa=subject:book+%26+magazine+posters&fo=json'}]",Harper's Christmas,Not Available,https://tile.loc.gov/storage-services/service/pnp/ppmsca/43100/43110v.jpg#h=1024&w=713
Item,2024-12-16,C:/Users/madis/Documents/676nlam/assignment_project_1/holiday_item_metadata\holiday_item_metadata-91783740.json,Not Available,1880-01-01,['cph 3c03362 //hdl.loc.gov/loc.pnp/cph.3c03362'],"{'photo, print, drawing': 'https://www.loc.gov/search/?fa=original_format:photo,+print,+drawing&fo=json'}",['english'],['new york'],['1 print : wood engraving.'],"[{'hanukkah': 'https://www.loc.gov/search/?fa=subject:hanukkah&fo=json'}, {'jews': 'https://www.loc.gov/search/?fa=subject:jews&fo=json'}, {'new york': 'https://www.loc.gov/search/?fa=subject:new+york&fo=json'}, {'new york (state)': 'https://www.loc.gov/search/?fa=subject:new+york+%28state%29&fo=json'}, {'periodical illustrations': 'https://www.loc.gov/search/?fa=subject:periodical+illustrations&fo=json'}, {'rites & ceremonies': 'https://www.loc.gov/search/?fa=subject:rites+%26+ceremonies&fo=json'}, {'spiritual life': 'https://www.loc.gov/search/?fa=subject:spiritual+life&fo=json'}, {'wood engravings': 'https://www.loc.gov/search/?fa=subject:wood+engravings&fo=json'}]","New York City--the Chanucka celebration by the Young Men's Hebrew Association, at the Academy of Music, December 16th--scene of the sixth tableau, ""the dedication of the temple""",Not Available,https://tile.loc.gov/storage-services/service/pnp/cph/3c00000/3c03000/3c03300/3c03362v.jpg#h=822&w=1024
Item,2024-12-16,C:/Users/madis/Documents/676nlam/assignment_project_1/holiday_item_metadata\holiday_item_metadata-92504352.json,[{'l. prang & co.': 'https://www.loc.gov/search/?fa=contributor:l.+prang+%26+co.&fo=json'}],1886-01-01,"['pga 07908 //hdl.loc.gov/loc.pnp/pga.07908', 'cph 3g01808 //hdl.loc.gov/loc.pnp/cph.3g01808', 'cph 3a10504 //hdl.loc.gov/loc.pnp/cph.3a10504']","{'photo, print, drawing': 'https://www.loc.gov/search/?fa=original_format:photo,+print,+drawing&fo=json'}",['english'],Not Available,['1 print : chromolithograph.'],"[{'advertisements': 'https://www.loc.gov/search/?fa=subject:advertisements&fo=json'}, {'christmas cards': 'https://www.loc.gov/search/?fa=subject:christmas+cards&fo=json'}, {'chromolithographs': 'https://www.loc.gov/search/?fa=subject:chromolithographs&fo=json'}, {'color': 'https://www.loc.gov/search/?fa=subject:color&fo=json'}, {'courtship': 'https://www.loc.gov/search/?fa=subject:courtship&fo=json'}, {'love': 'https://www.loc.gov/search/?fa=subject:love&fo=json'}, {'mistletoe': 'https://www.loc.gov/search/?fa=subject:mistletoe&fo=json'}]",Prang's Christmas cards,Couples in medieval(?) costumes under mistletoe.,https://tile.loc.gov/storage-services/service/pnp/pga/07900/07908v.jpg#h=1024&w=723
